Title,location,Job Description,Compensation,Employment Type,URL
"Every kind of Freelance Teachers, Tutors, Experts, and Coaches wanted",,"
        
If you would like to get more chances to have more students or clients for earning extra income:

This is ""1on1"", a global C2C online platform for matching Educators(Experts) and Learners(Clients).

- You just need to register once, and you might get students or clients from over 120+ countries.
- Although 1on1 is a very new website, we've already linked more than 3500+ cases in the world so far. 
- Our team randomly promotes 1on1's educators every day, you may get higher exposure and more opportunities.
- If you're interested in our platform services, please visit our website and ""Become a Tutor"" directly for FREE.

Website: 
https://1on1.today

Steps:
Sign up > Log in > Fill in your Basic Info and Tutor Info > Carry out!

Sincerely invite you to join us,
Team 1on1    ","Self-pricing by yourself, please.",part-time,https://bangalore.craigslist.org/edu/d/every-kind-of-freelance-teachers-tutors/6776048296.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite town),"
        
We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience up to 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
28-12-2018
    ",80000-3.5 LPA.,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6781671860.html
Technical Support Executive," (Bangalore, India)","
        
Job Description
Excellent opportunity with Hinduja Global Solutions for Customer Support Officer 
Salary Offered : As per Company's Standard + Attractive Incentive 

Necessary Skills :
Excellent Communication Skills in English & Fluency in one of the Indian regional language
Qualification required : PUC/Diploma/Graduate/ Post Graduate

Experience : Freshers

Nature of the job :

You will be given an opportunity to interact and resolve the queries of customers of the some of the best brands across the country.
1. Should be flexible to work in rotational shifts.
2. Provide World Class Customer Service.
3. End to End Transaction of Reports.


Contact Person: Gowri

Interested candidates can Walk-in directly to HGS, from 10:00 AM to 2:00 PM. 
Interview Date : 29th Dec & 31st Dec 2018


Documents to be carried: 
Resume - 2 copies
All educational documents
Aadhar Card & Pan Card 

Venue : Hinduja Global Solutions, AKR Tech Park, Block C, 2nd Floor, Krishna Reddy Industrial Area, 7th Mile, Off. Hosur Road, Garvebavipalya, Bangalore- 560068



Mention ""TO MEET HR ""Gowri"" on the top of . 

*We have multiple branches of HGS, kindly ensure that you reach the right branch of HGS

**Kindly excuse us if the profile does not match your requirement. Please forward the same to those who might be interested in the profile mentioned above.


Warm Regards
Gowri 

    ",Salary+ESI+PF+Incentives,full-time,https://bangalore.craigslist.org/tch/d/technical-support-executive/6781686460.html
Assistant to Real Estate Office, (Lakewood Township),"
        
Busy real estate office

Team Player

Follow up on leads

Send Contracts

Create sales    ",$ 4 per hour,full-time,https://bangalore.craigslist.org/rej/d/assistant-to-real-estate-office/6781695576.html
Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for, (Chennai),"
        
Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for Home-Based Online Jobs? - Are You a Student, Housewife, jobseeker ? - Are you ready to Work 1 to 2 Hours daily Online? - Do You need Guaranteed Payment Monthly? Then this is for You, - Clicking on their Advertisement E-mails. - Submitting their Data's online. - Reading their Advertisement Sms. - Filling Forms on their websites, etc,. FREE to Join >> http://dailyonlinejobs.com 
DPJ2079272  28 12 2018 08:58:01    ",Online job,part-time,https://bangalore.craigslist.org/wri/d/earn-rs25000-per-month-simple-online/6781696891.html
Best Amazon Web services (AWS) certification in marathahalli, (bangalore),"
        
Upshot Amazon Web Services (AWS), Institute for Certification Courses in BTM, Marathahalli, Bangalore provided hands on training for Students and supported for certification and job.Amazon Web Services, Training Institute Centre for Certification Courses in BTM, Marathahalli also provide Hebbal, Electronic City, Bangalore. Upshot offers best Amazon Web Services Training Institute for Certification Courses in BTM, Marathahalli, Bangalore with most experienced professionals. Our Instructors are working in Amazon Web Services and Cloud Computing related technologies for more years in MNC's. We aware of industry needs and we are offering Amazon Web Services and Cloud Computing Training Institute for Certification Courses in BTM, Marathahalli, Bangalore in more practical way.  

For more information visit:  

https://www.upshottechnologies.in/amazon-web-services-aws-training-in-bangalore 

aws course in Marathahalli 

aws training center in Marathahalli 

amazon web services training institutes in Marathahalli 

aws training in marathahalli 

aws certification in marathahalli 

best aws training in marathahalli 

    ","Upshot Amazon Web Services (AWS), Institute for Certification Courses in BTM, Marathahalli, Bangalore",full-time,https://bangalore.craigslist.org/edu/d/best-amazon-web-services-aws/6780188317.html
inlay furniture, (udaipur),"
        
Bone inlay furnitures are exquisitely handcrafted over many weeks using techniques passed down through generations.LAKECITY HANDICRAFTS who is considered to be the best BONE INLAY FURNITURE MANUFACTURER IN INDIA  offered a vital bone inlay furniture range which  has been expertly created by skilled artisans in Udaipur, India. Its bone inlay collection is offered in a variety of colours, designs and styles of Bone inlay furnitures and a varied craftsmanship products. http://lakecityhandicrafts.com/

    ",inlay furniture,full-time,https://bangalore.craigslist.org/acc/d/inlay-furniture/6781646502.html
Self Employment Opportunity, (Tuticorin),"
        
Earn minimum Rs.25000/- per month easily.
Number 1 Network Marketing in India.
Just 4 Health Products with U.S. Patent Number.
No age limit above 18 years. No Registration fees.
No minimum qualification for distributors.
Only Service Based program with Free Weekly Training.
Valuable guidance from the Up line Leaders daily.
Contact immediately through mobile.
    ",Rs.5000 to Rs.250000 per week.,part-time,https://bangalore.craigslist.org/mar/d/self-employment-opportunity/6780871715.html
live & work with sanyas Space Shuttle, (worldwide),"
        
Greetings & Greetings 
Sanyas & Lifestyle 
Dedicate & Live with Sanyas Guru 
Work Full Time & Contractual 
To setup Centers & Retreat  Houses
Change for Life time
1 -5-10 -Life Time Year Contracts
Grow EveryYear 
Sadhna Kriyas Grouping Siddhi Living Program
Learning & Learner Base Modules 
Offline to Online Conversion Under Sanyas Projects
Contact 
Sanyas Dot Guru 
Metro Rural Jungle
World Wide Setups
yeamaya.com
livespacecraft.com    ",500000,contract,https://bangalore.craigslist.org/tfr/d/live-work-with-sanyas-space-shuttle/6781645594.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite town),"
        
We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience up to 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
27-12-2018
    ",80000-3.5 LPA.,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6780901131.html
